"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","3.346401479984458e-13","12.475421956355666","393","48","19","11642","FBGN0010379,FBGN0000490,FBGN0000261,FBGN0001233,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0052062,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473"
"GO:BP","cellular response to stimulus","GO:0051716","false","1.923874942203234e-12","11.71582316185966","2288","48","35","11642","FBGN0010379,FBGN0000490,FBGN0005590,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0029131,FBGN0000463,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473,FBGN0035934,FBGN0053542,FBGN0261113"
"GO:BP","response to chemical","GO:0042221","false","7.762918470433412e-12","11.109974974963315","1001","48","25","11642","FBGN0010379,FBGN0000490,FBGN0000261,FBGN0000422,FBGN0033159,FBGN0013278,FBGN0013279,FBGN0001233,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0052062,FBGN0263289,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473,FBGN0035934"
"GO:BP","response to heat","GO:0009408","false","1.68117488667686e-11","10.774387106091726","81","48","11","11642","FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0000229,FBGN0024329,FBGN0035934"
"GO:BP","cellular response to stress","GO:0033554","false","9.646010607333317e-11","10.015652264837545","618","48","20","11642","FBGN0010379,FBGN0000261,FBGN0004106,FBGN0029131,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0040305,FBGN0052062,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0035934,FBGN0261113"
"GO:BP","response to temperature stimulus","GO:0009266","false","1.7583893174161805e-10","9.754884963342615","135","48","12","11642","FBGN0000422,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0000229,FBGN0024329,FBGN0035934"
"GO:BP","protein refolding","GO:0042026","true","3.322823190181174e-10","9.47849276722914","31","48","8","11642","FBGN0001217,FBGN0001220,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279"
"GO:BP","response to abiotic stimulus","GO:0009628","false","4.122479495336836e-10","9.384841495800899","426","48","17","11642","FBGN0000422,FBGN0029131,FBGN0033159,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0033631,FBGN0016917,FBGN0035934"
"GO:BP","cellular response to heat","GO:0034605","false","1.5965928436608634e-9","8.796805821680001","37","48","8","11642","FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0024329,FBGN0035934"
"GO:BP","heat shock-mediated polytene chromosome puffing","GO:0035080","false","5.3354028074224714e-8","7.2728327870291904","8","48","5","11642","FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279"
"GO:BP","protein folding","GO:0006457","false","9.701231502637334e-8","7.0131731316253365","130","48","10","11642","FBGN0001217,FBGN0001220,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:BP","polytene chromosome puffing","GO:0035079","false","1.1967692505820798e-7","6.921989577963975","9","48","5","11642","FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279"
"GO:BP","response to toxic substance","GO:0009636","false","1.8882399675451724e-7","6.7239428140854995","139","48","10","11642","FBGN0000261,FBGN0013278,FBGN0013279,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","cellular response to toxic substance","GO:0097237","false","3.964119205909754e-7","6.4018532942245","71","48","8","11642","FBGN0000261,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","cellular detoxification","GO:1990748","false","3.964119205909754e-7","6.4018532942245","71","48","8","11642","FBGN0000261,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","cellular response to chemical stress","GO:0062197","false","5.175373342030682e-7","6.286058315526041","45","48","7","11642","FBGN0000229,FBGN0024329,FBGN0040305,FBGN0052062,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","response to metal ion","GO:0010038","false","6.085445691002418e-7","6.215707609043659","46","48","7","11642","FBGN0000229,FBGN0024329,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192"
"GO:BP","cellular detoxification of metal ion","GO:0140961","false","0.000001267877707293097","5.896922634158629","5","48","4","11642","FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192"
"GO:BP","response to oxidative stress","GO:0006979","false","0.0000031034906414980294","5.508149559881256","134","48","9","11642","FBGN0010379,FBGN0000261,FBGN0000422,FBGN0000229,FBGN0024329,FBGN0040305,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","cell population proliferation","GO:0008283","false","0.00000419308164120469","5.3774666816032255","319","48","12","11642","FBGN0010379,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0001233,FBGN0000229,FBGN0263289,FBGN0016917,FBGN0262473,FBGN0053542,FBGN0261113"
"GO:BP","response to hypoxia","GO:0001666","false","0.000004204936792790201","5.376240527987055","60","48","7","11642","FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0000063"
"GO:BP","detoxification","GO:0098754","false","0.000005853521963656353","5.232582747741532","99","48","8","11642","FBGN0000261,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","response to decreased oxygen levels","GO:0036293","false","0.000007463663175604194","5.127047967905333","65","48","7","11642","FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0000063"
"GO:BP","response to reactive oxygen species","GO:0000302","false","0.000007503840002047627","5.12471643461948","37","48","6","11642","FBGN0000261,FBGN0000422,FBGN0000229,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","response to oxygen levels","GO:0070482","false","0.000018763107534518975","4.7266952324106315","74","48","7","11642","FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0000063"
"GO:BP","regulation of cell population proliferation","GO:0042127","false","0.00002136925584405398","4.670210601300983","226","48","10","11642","FBGN0010379,FBGN0000261,FBGN0000463,FBGN0001233,FBGN0000229,FBGN0263289,FBGN0016917,FBGN0262473,FBGN0053542,FBGN0261113"
"GO:BP","response to wounding","GO:0009611","false","0.00006034269176874481","4.219375320706636","133","48","8","11642","FBGN0010379,FBGN0010341,FBGN0000422,FBGN0000229,FBGN0032006,FBGN0016917,FBGN0262473,FBGN0053542"
"GO:BP","follicle cell of egg chamber development","GO:0030707","false","0.00007214686822556356","4.14178251615574","257","48","10","11642","FBGN0010379,FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0263289,FBGN0016917"
"GO:BP","positive regulation of cell population proliferation","GO:0008284","false","0.00009313599914303598","4.03088242205523","93","48","7","11642","FBGN0010379,FBGN0000463,FBGN0001233,FBGN0000229,FBGN0016917,FBGN0262473,FBGN0053542"
"GO:BP","developmental process involved in reproduction","GO:0003006","false","0.00010104050144997739","3.9955045071041733","949","48","17","11642","FBGN0010379,FBGN0000490,FBGN0005590,FBGN0004106,FBGN0010341,FBGN0029131,FBGN0000463,FBGN0039683,FBGN0001233,FBGN0000229,FBGN0000063,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0016917,FBGN0053542"
"GO:BP","cellular response to oxygen-containing compound","GO:1901701","false","0.0001162141778701298","3.9347408857567507","203","48","9","11642","FBGN0010379,FBGN0001233,FBGN0000229,FBGN0032006,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473"
"GO:BP","female gamete generation","GO:0007292","false","0.0001446430505338325","3.839702427465782","632","48","14","11642","FBGN0010379,FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0001233,FBGN0000229,FBGN0000063,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0016917,FBGN0053542"
"GO:BP","protein maturation","GO:0051604","false","0.0001556920905593885","3.807733449818931","279","48","10","11642","FBGN0001217,FBGN0001220,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","0.00016702389038791287","3.7772214047711317","359","48","11","11642","FBGN0010379,FBGN0000261,FBGN0000422,FBGN0001233,FBGN0000229,FBGN0032006,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473"
"GO:BP","embryo development","GO:0009790","true","0.0001797874940510098","3.745240520909416","542","48","13","11642","FBGN0000490,FBGN0005590,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001233,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0263289,FBGN0016917,FBGN0262473,FBGN0053542"
"GO:BP","developmental growth","GO:0048589","false","0.00019738408334618916","3.7046878708843076","365","48","11","11642","FBGN0010379,FBGN0000490,FBGN0010341,FBGN0033159,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0014010,FBGN0263289,FBGN0016917,FBGN0262473"
"GO:BP","epithelial cell development","GO:0002064","false","0.00021606228049888277","3.6654210443199857","289","48","10","11642","FBGN0010379,FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0263289,FBGN0016917"
"GO:BP","post-embryonic development","GO:0009791","false","0.0002419943890155618","3.6161947036387003","659","48","14","11642","FBGN0000490,FBGN0005590,FBGN0010341,FBGN0000463,FBGN0026479,FBGN0000229,FBGN0039354,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0016917,FBGN0262473,FBGN0053542"
"GO:BP","intestinal stem cell homeostasis","GO:0036335","true","0.0002446856175598822","3.6113915574073028","34","48","5","11642","FBGN0000490,FBGN0000261,FBGN0032006,FBGN0016917,FBGN0053542"
"GO:BP","embryonic development via the syncytial blastoderm","GO:0001700","false","0.00030551483717677436","3.5149676936128182","164","48","8","11642","FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0263289,FBGN0053542"
